"GeneID","Symbol","Synonyms","chromosome","Ensembl","HGNC","MIM"
"215","ABCD1","ABC42|ALD|ALDP|AMN","X","ENSG00000101986","HGNC:61","300371"
"216","ALDH1A1","ALDC|ALDH-E1|ALDH1|ALDH11|HEL-9|HEL-S-53e|HEL12|PUMB1|RALDH1","9","ENSG00000165092","HGNC:402","100640"
"217","ALDH2","ALDH-E2|ALDHI|ALDM","12","ENSG00000111275","HGNC:404","100650"
"218","ALDH3A1","ALDH3|ALDHIII","17","ENSG00000108602","HGNC:405","100660"
"219","ALDH1B1","ALDH5|ALDHX","9","ENSG00000137124","HGNC:407","100670"
"220","ALDH1A3","ALDH1A6|ALDH6|MCOP8|RALDH3","15","ENSG00000184254","HGNC:409","600463"
"221","ALDH3B1","ALDH4|ALDH7","11","ENSG00000006534","HGNC:410","600466"
"222","ALDH3B2","ALDH8","11","ENSG00000132746","HGNC:411","601917"
"223","ALDH9A1","ALDH4|ALDH7|ALDH9|E3|TMABA-DH|TMABADH|TMABALDH","1","ENSG00000143149","HGNC:412","602733"
"224","ALDH3A2","ALDH10|FALDH|SLS","17","ENSG00000072210","HGNC:403","609523"
"225","ABCD2","ABC39|ALDL1|ALDR|ALDRP|hALDR","12","ENSG00000173208","HGNC:66","601081"
"226","ALDOA","ALDA|GSD12|HEL-S-87p","16","ENSG00000149925","HGNC:414","103850"
"229","ALDOB","ALDB|ALDO2","9","ENSG00000136872","HGNC:417","612724"
"230","ALDOC","ALDC","17","ENSG00000109107","HGNC:418","103870"
"231","AKR1B1","ADR|ALDR1|ALR2|AR","7","ENSG00000085662","HGNC:381","103880"
"238","ALK","ALK1|CD246|NBLST3","2","ENSG00000171094","HGNC:427","105590"
"239","ALOX12","12-LOX|12S-LOX|LOG12","17","ENSG00000108839","HGNC:429","152391"
"240","ALOX5","5-LO|5-LOX|5LPG|LOG5","10","ENSG00000012779","HGNC:435","152390"
"241","ALOX5AP","FLAP","13","ENSG00000132965","HGNC:436","603700"
"242","ALOX12B","12R-LOX|ARCI2","17","ENSG00000179477","HGNC:430","603741"
"246","ALOX15","12-LOX|15-LOX|15-LOX-1|LOG15","17","ENSG00000161905","HGNC:433","152392"
"247","ALOX15B","15-LOX-2","17","ENSG00000179593","HGNC:434","603697"
"248","ALPI","IAP","2","ENSG00000163295","HGNC:437","171740"
"249","ALPL","AP-TNAP|APTNAP|HOPS|HPPA|HPPC|HPPI|HPPO|TNALP|TNAP|TNS-ALP|TNSALP","1","ENSG00000162551","HGNC:438","171760"
"250","ALPP","ALP|ALPI|IAP|PALP|PLAP|PLAP-1","2","ENSG00000163283","HGNC:439","171800"
"251","ALPG","ALPPL|ALPPL2|GCAP","2","ENSG00000163286","HGNC:441","171810"
"257","ALX3","FND|FND1","1","ENSG00000156150","HGNC:449","606014"
"258","AMBN","AI1F","4","ENSG00000178522","HGNC:452","601259"
"259","AMBP","A1M|EDC1|HCP|HI30|IATIL|ITI|ITIL|ITILC|UTI","9","ENSG00000106927","HGNC:453","176870"
"262","AMD1","ADOMETDC|AMD|SAMDC","6","ENSG00000123505","HGNC:457","180980"
"265","AMELX","AI1E|AIH1|ALGN|AMG|AMGL|AMGX","X","ENSG00000125363","HGNC:461","300391"
"266","AMELY","AMGL|AMGY","Y","ENSG00000099721","HGNC:462","410000"
"267","AMFR","GP78|RNF45|SPG89","16","ENSG00000159461","HGNC:463","603243"
"268","AMH","MIF|MIS","19","ENSG00000104899","HGNC:464","600957"
"269","AMHR2","AMHR|MISR2|MISRII|MRII","12","ENSG00000135409","HGNC:465","600956"
"270","AMPD1","MAD|MADA|MMDD","1","ENSG00000116748","HGNC:468","102770"
"271","AMPD2","AMPD|PCH9|SPG63","1","ENSG00000116337","HGNC:469","102771"
"272","AMPD3","-","11","ENSG00000133805","HGNC:470","102772"
"273","AMPH","AMPH1","7","ENSG00000078053","HGNC:471","600418"
"274","BIN1","AMPH2|AMPHL|CNM2|SH3P9","2","ENSG00000136717","HGNC:1052","601248"
"275","AMT","GCE|GCE2|GCST|GCVT|NKH","3","ENSG00000145020","HGNC:473","238310"
"276","AMY1A","AMY1","1","ENSG00000237763","HGNC:474","104700"
"277","AMY1B","AMY1","1","ENSG00000174876","HGNC:475","104701"
"278","AMY1C","AMY1","1","ENSG00000187733","HGNC:476","104702"
"279","AMY2A","AMY2|PA","1","ENSG00000243480","HGNC:477","104650"
"280","AMY2B","AMY2|AMY3|HXA","1","ENSG00000240038","HGNC:478","104660"
"283","ANG","ALS9|HEL168|RAA1|RNASE4|RNASE5","14","ENSG00000214274","HGNC:483","105850"
"284","ANGPT1","AGP1|AGPT|AGPT-1|ANG1|HAE5","8","ENSG00000154188","HGNC:484","601667"
"285","ANGPT2","AGPT2|ANG2|LMPHM10","8","ENSG00000091879","HGNC:485","601922"
"286","ANK1","ANK|SPH1|SPH2|ankyrin-1","8","ENSG00000029534","HGNC:492","612641"
"287","ANK2","ANK-2|CFAP87|FAP87|LQT4|brank-2","4","ENSG00000145362","HGNC:493","106410"
"288","ANK3","ANKYRIN-G|MRT37","10","ENSG00000151150","HGNC:494","600465"
"290","ANPEP","AP-M|AP-N|APN|CD13|GP150|LAP1|P150|PEPN|hAPN","15","ENSG00000166825","HGNC:500","151530"
"291","SLC25A4","AAC1|ANT|ANT 1|ANT1|MTDPS12|MTDPS12A|PEO2|PEO3|PEOA2|T1","4","ENSG00000151729","HGNC:10990","103220"
"292","SLC25A5","2F1|AAC2|ANT2|T2|T3","X","ENSG00000005022","HGNC:10991","300150"
"293","SLC25A6","AAC3|ANT|ANT 2|ANT 3|ANT3|ANT3Y","X|Y","ENSG00000292334","HGNC:10992","403000"
"301","ANXA1","ANX1|LPC1","9","ENSG00000135046","HGNC:533","151690"
"302","ANXA2","ANX2|ANX2L4|CAL1H|HEL-S-270|LIP2|LPC2|LPC2D|P36|PAP-IV","15","ENSG00000182718","HGNC:537","151740"
"306","ANXA3","ANX3","4","ENSG00000138772","HGNC:541","106490"
"307","ANXA4","ANX4|HEL-S-274|P32.5|PAP-II|PIG28|PP4-X|ZAP36","2","ENSG00000196975","HGNC:542","106491"
"308","ANXA5","ANX5|CPB-I|ENX2|HEL-S-7|PP4|RPRGL3|VAC-alph","4","ENSG00000164111","HGNC:543","131230"
"309","ANXA6","ANX6|CBP68|CPB-II|p68|p70","5","ENSG00000197043","HGNC:544","114070"
"310","ANXA7","ANX7|SNX|SYNEXIN","10","ENSG00000138279","HGNC:545","186360"
"311","ANXA11","ALS23|ANX11|CAP-50|CAP50|IBMWMA","10","ENSG00000122359","HGNC:535","602572"
"312","ANXA13","ANX13|ISA","8","ENSG00000104537","HGNC:536","602573"
"313","AOAH","-","7","ENSG00000136250","HGNC:548","102593"
"314","AOC2","DAO2|RAO|SSAO","17","ENSG00000131480","HGNC:549","602268"
"316","AOX1","AO|AOH1","2","ENSG00000138356","HGNC:553","602841"
"317","APAF1","APAF-1|CED4","12","ENSG00000120868","HGNC:576","602233"
"318","NUDT2","APAH1|IDDPN","9","ENSG00000164978","HGNC:8049","602852"
"319","APOF","Apo-F|LTIP","12","ENSG00000175336","HGNC:615","107760"
"320","APBA1","D9S411E|LIN10|MINT1|X11|X11A|X11ALPHA","9","ENSG00000107282","HGNC:578","602414"
"321","APBA2","D15S1518E|HsT16821|LIN-10|MGC:14091|MINT2|X11-BETA|X11L","15","ENSG00000034053","HGNC:579","602712"
"322","APBB1","FE65|MGC:9072|RIR","11","ENSG00000166313","HGNC:581","602709"
"323","APBB2","FE65L|FE65L1","4","ENSG00000163697","HGNC:582","602710"
"324","APC","BTPS2|DESMD|DP2|DP2.5|DP3|GS|PPP1R46","5","ENSG00000134982","HGNC:583","611731"
"325","APCS","HEL-S-92n|PTX2|SAP","1","ENSG00000132703","HGNC:584","104770"
"326","AIRE","AIRE1|APECED|APS1|APSI|PGA1","21","ENSG00000160224","HGNC:360","607358"
"327","APEH","AARE|ACPH|APH|D3F15S2|D3S48E|DNF15S2|OPH","3","ENSG00000164062","HGNC:586","102645"
"328","APEX1","APE|APE1|APEN|APEX|APX|HAP1|REF1","14","ENSG00000100823","HGNC:587","107748"
"329","BIRC2","API1|HIAP2|Hiap-2|MIHB|RNF48|c-IAP1|cIAP1","11","ENSG00000110330","HGNC:590","601712"
"330","BIRC3","AIP1|API2|CIAP2|HAIP1|HIAP1|IAP-1|MALT2|MIHC|RNF49|c-IAP2","11","ENSG00000023445","HGNC:591","601721"
"331","XIAP","API3|BIRC4|IAP-3|ILP1|MIHA|XLP2|hIAP-3|hIAP3","X","ENSG00000101966","HGNC:592","300079"
"332","BIRC5","API4|EPR-1","17","ENSG00000089685","HGNC:593","603352"
"333","APLP1","APLP","19","ENSG00000105290","HGNC:597","104775"
"334","APLP2","APLP-2|APPH|APPL2|CDEBP","11","ENSG00000084234","HGNC:598","104776"
"335","APOA1","AMYLD3|HPALP2|apo(a)","11","ENSG00000118137","HGNC:600","107680"
"336","APOA2","Apo-AII|ApoA-II|apoAII","1","ENSG00000158874","HGNC:601","107670"
"337","APOA4","ADTKD6","11","ENSG00000110244","HGNC:602","107690"
"338","APOB","FCHL2|FLDB|LDLCQ4|apoB-100|apoB-48","2","ENSG00000084674","HGNC:603","107730"
"339","APOBEC1","APO1|APOBEC-1|BEDP|CDAR1|HEPR","12","ENSG00000111701","HGNC:604","600130"
"341","APOC1","APOC1B|Apo-CI|ApoC-I|apo-CIB|apoC-IB","19","ENSG00000130208","HGNC:607","107710"
"343","AQP8","AQP-8","16","ENSG00000103375","HGNC:642","603750"
"344","APOC2","APO-CII|APOC-II","19","ENSG00000234906","HGNC:609","608083"
"345","APOC3","APOCIII|Apo-C3|ApoC-3","11","ENSG00000110245","HGNC:610","107720"
"346","APOC4","APO-CIV|APOC-IV","19","ENSG00000267467","HGNC:611","600745"
"347","APOD","-","3","ENSG00000189058","HGNC:612","107740"
"348","APOE","AD2|APO-E|ApoE4|LDLCQ5|LPG","19","ENSG00000130203","HGNC:613","107741"
"350","APOH","B2G1|B2GP1|BG","17","ENSG00000091583","HGNC:616","138700"
"351","APP","AAA|ABETA|ABPP|AD1|APPI|CTFgamma|CVAP|PN-II|PN2|alpha-sAPP|preA4","21","ENSG00000142192","HGNC:620","104760"
"353","APRT","AMP|APRTD","16","ENSG00000198931","HGNC:626","102600"
"354","KLK3","APS|KLK2A1|PSA|hK3","19","ENSG00000142515","HGNC:6364","176820"
"355","FAS","ALPS1A|APO-1|APT1|CD95|FAS1|FASTM|TNFRSF6","10","ENSG00000026103","HGNC:11920","134637"
"356","FASLG","ALPS1B|APT1LG1|APTL|CD178|CD95-L|CD95L|FASL|TNFSF6|TNLG1A","1","ENSG00000117560","HGNC:11936","134638"
"357","SHROOM2","APXL|HSAPXL","X","ENSG00000146950","HGNC:630","300103"
"358","AQP1","AQP-CHIP|CHIP28|CO","7","ENSG00000240583","HGNC:633","107776"
"359","AQP2","AQP-CD|NDI2|WCH-CD","12","ENSG00000167580","HGNC:634","107777"
"360","AQP3","AQP-3|GIL","9","ENSG00000165272","HGNC:636","600170"
"361","AQP4","MIWC|MLC4|WCH4|hAQP4","18","ENSG00000171885","HGNC:637","600308"
"362","AQP5","AQP-5|PPKB","12","ENSG00000161798","HGNC:638","600442"
"363","AQP6","AQP2L|KID","12","ENSG00000086159","HGNC:639","601383"
"364","AQP7","AQP7L|AQPap|GLYCQTL","9","ENSG00000165269","HGNC:640","602974"
"366","AQP9","AQP-9|HsT17287|SSC1|T17287","15","ENSG00000103569","HGNC:643","602914"
"367","AR","AIS|AR8|DHTR|HUMARA|HYSP1|KD|NR3C4|SBMA|SMAX1|TFM","X","ENSG00000169083","HGNC:644","313700"
"368","ABCC6","ABC34|ARA|EST349056|GACI2|MLP1|MOAT-E|MOATE|MRP6|PXE|PXE1|URG7","16","ENSG00000091262","HGNC:57","603234"
"369","ARAF","A-RAF|ARAF1|PKS2|RAFA1","X","ENSG00000078061","HGNC:646","311010"
"372","ARCN1","COPD|SRMMD|SSMG","11","ENSG00000095139","HGNC:649","600820"
"373","TRIM23","ARD1|ARFD1|RNF46","5","ENSG00000113595","HGNC:660","601747"
